고객ID,연령,성별,지역명,거주시군구명,법정동명,소득
0,76,남성,부산,기장군,정관읍,2000만원 이하
1,80,여성,경기,안양시 만안구,안양동,2000~3000만원
2,38,남성,전남,보성군,보성읍,5000만원이상
3,25,여성,서울,영등포구,여의도동,3000~4000만원
4,33,여성,서울,강서구,방화동,2000~3000만원
5,68,남성,부산,연제구,연산동,5000만원이상
6,38,남성,강원,강릉시,노암동,4000~5000만원
7,58,남성,울산,남구,신정동,2000~3000만원
8,70,여성,경남,진주시,상대동,3000~4000만원
9,35,여성,경남,남해군,남면,5000만원이상
10,61,남성,경기,수원시 팔달구,지동,2000~3000만원
11,75,여성,경기,부천시,중동,3000~4000만원
12,71,여성,경기,용인시 기흥구,공세동,5000만원이상
13,19,남성,부산,부산진구,당감동,4000~5000만원
14,32,여성,서울,강서구,내발산동,2000만원 이하
15,67,여성,경기,고양시 일산동,마두동,5000만원이상
16,79,남성,부산,금정구,서동,2000만원 이하
17,48,남성,경남,창원시 마산합,월남동2가,2000만원 이하
18,45,남성,강원,홍천군,홍천읍,2000만원 이하
19,50,여성,강원,춘천시,석사동,4000~5000만원
20,44,여성,경기,성남시 중원구,은행동,2000~3000만원
21,69,남성,경남,창원시 진해구,청안동,4000~5000만원
22,43,여성,부산,서구,서대신동3가,5000만원이상
23,69,남성,서울,성동구,금호동1가,5000만원이상
24,44,남성,경기,이천시,호법면,2000~3000만원
25,38,남성,서울,송파구,방이동,2000~3000만원
26,69,여성,경남,창원시 의창구,봉곡동,5000만원이상
27,53,남성,인천,남구,주안동,4000~5000만원
28,62,여성,서울,서초구,반포동,4000~5000만원
29,62,여성,경기,안양시 동안구,비산동,5000만원이상
30,57,여성,경북,칠곡군,북삼읍,5000만원이상
31,39,여성,경남,거제시,고현동,5000만원이상
32,60,여성,대구,수성구,신매동,4000~5000만원
33,37,남성,경남,창원시 진해구,풍호동,4000~5000만원
34,60,여성,경남,창원시 의창구,팔용동,2000~3000만원
35,47,남성,울산,남구,신정동,2000~3000만원
36,57,남성,광주,광산구,오선동,5000만원이상
37,45,여성,경북,영덕군,영덕읍,2000만원 이하
38,59,여성,충북,청주시 청원구,오창읍,2000~3000만원
39,43,여성,경기,안양시 동안구,평촌동,2000~3000만원
40,28,여성,충남,태안군,안면읍,3000~4000만원
41,59,남성,강원,동해시,이로동,2000~3000만원
42,27,여성,서울,강남구,청담동,2000~3000만원
43,36,여성,경남,통영시,도천동,3000~4000만원
44,33,여성,대구,북구,복현동,4000~5000만원
45,29,남성,경북,포항시 북구,두호동,4000~5000만원
46,43,여성,대전,서구,월평동,5000만원이상
47,37,여성,서울,강서구,화곡동,2000~3000만원
48,39,남성,서울,강서구,화곡동,2000~3000만원
49,47,여성,전북,정읍시,신태인읍,5000만원이상
50,38,여성,인천,남동구,고잔동,5000만원이상
51,24,남성,서울,영등포구,신길동,2000~3000만원
52,73,여성,서울,서초구,반포동,3000~4000만원
53,21,여성,전북,익산시,남중동,4000~5000만원
54,32,남성,전남,고흥군,도덕면,2000~3000만원
55,56,여성,울산,동구,방어동,5000만원이상
56,56,여성,전남,여수시,봉계동,3000~4000만원
57,31,남성,서울,송파구,삼전동,3000~4000만원
58,37,여성,경기,광명시,하안동,4000~5000만원
59,71,여성,광주,북구,일곡동,5000만원이상
60,21,남성,전북,전주시 덕진구,인후동1가,3000~4000만원
61,52,남성,강원,원주시,신림면,4000~5000만원
62,60,여성,경기,용인시 수지구,상현동,3000~4000만원
63,74,남성,대구,달서구,도원동,2000만원 이하
64,57,여성,충남,태안군,안면읍,3000~4000만원
65,67,여성,대구,동구,율하동,5000만원이상
66,27,여성,경북,포항시 남구,오천읍,2000만원 이하
67,29,여성,경기,연천군,전곡읍,4000~5000만원
68,31,여성,경기,고양시 덕양구,지축동,2000만원 이하
69,52,여성,대구,수성구,지산동,5000만원이상
70,31,남성,서울,송파구,잠실동,5000만원이상
71,43,남성,경기,고양시 일산동,성석동,4000~5000만원
72,80,여성,인천,남동구,구월동,3000~4000만원
73,31,남성,대전,중구,태평동,3000~4000만원
74,65,여성,경북,포항시 북구,창포동,3000~4000만원
75,72,여성,부산,기장군,정관읍,3000~4000만원
76,80,여성,대구,달서구,감삼동,2000~3000만원
77,43,남성,서울,영등포구,대림동,2000~3000만원
78,21,남성,경북,칠곡군,석적읍,3000~4000만원
79,63,여성,경기,수원시 영통구,영통동,2000~3000만원
80,66,남성,전북,정읍시,상동,2000만원 이하
81,23,여성,부산,사하구,장림동,2000만원 이하
82,74,여성,충남,천안시,두정동  ,2000만원 이하
83,71,남성,전남,담양군,담양읍,3000~4000만원
84,35,여성,충북,청주시 서원구,개신동,2000만원 이하
85,67,남성,강원,태백시,혈동,5000만원이상
86,66,여성,대전,대덕구,법동,2000~3000만원
87,25,남성,충북,진천군,진천읍,4000~5000만원
88,74,여성,울산,남구,삼산동,3000~4000만원
89,80,여성,경남,김해시,한림면,5000만원이상
90,32,남성,전남,순천시,덕월동,3000~4000만원
91,20,여성,경기,시흥시,대야동,3000~4000만원
92,76,남성,서울,광진구,광장동,4000~5000만원
93,28,남성,충북,청주시 상당구,탑동,4000~5000만원
94,80,여성,대구,수성구,만촌동,3000~4000만원
95,55,여성,인천,서구,검암동,4000~5000만원
96,29,여성,대구,수성구,범어동,5000만원이상
97,58,남성,경기,성남시 분당구,금곡동,2000만원 이하
98,51,남성,인천,부평구,산곡동,3000~4000만원
99,23,남성,전남,진도군,임회면,5000만원이상
100,66,여성,서울,성동구,성수동2가,4000~5000만원
101,58,남성,충남,당진시,송산면,2000~3000만원
102,45,남성,경북,포항시 남구,연일읍,3000~4000만원
103,65,여성,서울,관악구,봉천동,5000만원이상
104,74,남성,전북,익산시,송학동,3000~4000만원
105,48,여성,인천,미추홀구,주안동,2000만원 이하
106,55,여성,서울,동작구,신대방동,2000~3000만원
107,30,여성,경기,의정부시,민락동,5000만원이상
108,50,남성,경기,성남시 분당구,정자동,3000~4000만원
109,28,남성,경기,화성시,장안면,3000~4000만원
110,71,여성,대구,달서구,감삼동,3000~4000만원
111,19,남성,서울,도봉구,도봉동,5000만원이상
112,60,여성,울산,북구,달천동,4000~5000만원
113,39,여성,경기,수원시 권선구,평동,3000~4000만원
114,76,여성,경기,화성시,봉담읍,2000만원 이하
115,68,남성,전북,완주군,동상면,3000~4000만원
116,41,남성,서울,노원구,중계동,4000~5000만원
117,72,여성,부산,북구,화명동,3000~4000만원
118,62,남성,광주,북구,양산동,3000~4000만원
119,67,여성,경기,성남시 중원구,상대원동,5000만원이상
120,36,여성,강원,속초시,노학동,4000~5000만원
121,71,남성,울산,남구,삼산동,3000~4000만원
122,62,여성,대전,동구,성남동,4000~5000만원
123,28,여성,경기,여주시,점동면,4000~5000만원
124,26,남성,서울,강남구,일원동,2000만원 이하
125,56,남성,부산,강서구,대저2동,2000~3000만원
126,40,여성,경기,오산시,금암동,5000만원이상
127,49,남성,경기,부천시,상동,4000~5000만원
128,70,남성,경기,부천시 오정구,원종동,5000만원이상
129,38,남성,서울,광진구,자양동,3000~4000만원
130,23,여성,서울,도봉구,창동,3000~4000만원
131,33,남성,경북,고령군,다산면,2000~3000만원
132,77,남성,경북,경주시,안강읍,4000~5000만원
133,67,남성,경기,안양시 동안구,비산동,3000~4000만원
134,56,여성,경북,구미시,진평동,2000~3000만원
135,24,여성,대구,수성구,황금동,2000만원 이하
136,54,여성,충남,서산시,예천동,2000만원 이하
137,34,남성,부산,부산진구,범천동,2000만원 이하
138,61,남성,서울,노원구,공릉동,3000~4000만원
139,59,남성,대구,동구,신기동,3000~4000만원
140,73,남성,서울,강서구,화곡동,2000만원 이하
141,78,여성,충북,영동군,추풍령면,2000~3000만원
142,24,여성,서울,서대문구,홍제동,3000~4000만원
143,31,남성,부산,해운대구,좌동,5000만원이상
144,37,남성,서울,영등포구,여의도동,2000만원 이하
145,70,여성,서울,영등포구,문래동6가,4000~5000만원
146,26,남성,경기,고양시 일산동,장항동,5000만원이상
147,28,여성,부산,남구,문현동,5000만원이상
148,34,여성,경남,창원시 마산회,합성동,2000만원 이하
149,29,남성,부산,북구,화명동,2000~3000만원
150,59,남성,경남,창원시 마산회,봉암동,5000만원이상
151,71,남성,경기,안산시 단원구,성곡동,2000만원 이하
152,73,남성,경남,창원시 의창구,동읍,5000만원이상
153,36,여성,경남,창원시 마산회,구암동,5000만원이상
154,53,남성,서울,광진구,자양동,2000만원 이하
155,80,여성,경남,고성군,하이면,2000만원 이하
156,60,남성,대전,서구,탄방동,2000만원 이하
157,21,여성,경기,수원시 영통구,원천동,2000~3000만원
158,43,여성,전남,목포시,용당동,2000만원 이하
159,78,여성,서울,동작구,신대방동,5000만원이상
160,55,여성,경기,안산시 상록구,본오동,4000~5000만원
161,31,여성,인천,남동구,고잔동,2000만원 이하
162,52,여성,경남,창원시 성산구,내동,2000~3000만원
163,60,남성,경기,용인시 기흥구,구갈동,4000~5000만원
164,70,여성,강원,삼척시,정상동,4000~5000만원
165,35,여성,대전,대덕구,비래동,5000만원이상
166,42,남성,강원,동해시,이도동,4000~5000만원
167,64,여성,전북,익산시,송학동,3000~4000만원
168,23,여성,부산,금정구,장전동,4000~5000만원
169,42,남성,서울,영등포구,문래동2가,3000~4000만원
170,35,남성,경남,통영시,무전동,2000~3000만원
171,27,남성,인천,남동구,만수동,4000~5000만원
172,80,남성,경남,창원시 마산합,산호동,2000만원 이하
173,42,남성,서울,관악구,신림동,3000~4000만원
174,74,여성,경남,창원시 마산회,회원동,5000만원이상
175,73,여성,부산,북구,구포동,2000만원 이하
176,56,여성,경남,양산시,평산동,4000~5000만원
177,27,여성,인천,부평구,삼산동,2000만원 이하
178,69,여성,인천,남동구,간석동,4000~5000만원
179,70,여성,경기,오산시,부산동,2000만원 이하
180,39,여성,경기,고양시 일산동,마두동,3000~4000만원
181,72,여성,부산,해운대구,중동,2000만원 이하
182,42,여성,서울,동대문구,장안동,4000~5000만원
183,68,여성,서울,은평구,불광동,3000~4000만원
184,51,남성,광주,북구,두암동,2000만원 이하
185,32,남성,전남,여수시,신기동,2000만원 이하
186,33,여성,경기,수원시 영통구,매탄동,3000~4000만원
187,25,여성,대전,중구,선화동,5000만원이상
188,74,남성,전남,광양시,광양읍,5000만원이상
189,30,여성,경기,평택시,포승읍,2000~3000만원
190,78,여성,경기,성남시 수정구,창곡동,4000~5000만원
191,77,남성,충남,논산시,지산동,5000만원이상
192,60,남성,경남,통영시,도남동,2000~3000만원
193,66,남성,인천,중구,경동,3000~4000만원
194,42,남성,서울,송파구,마천동,2000~3000만원
195,74,여성,경기,이천시,갈산동,2000만원 이하
196,75,여성,전북,전주시 덕진구,인후동1가,3000~4000만원
197,37,여성,울산,북구,진장동,2000만원 이하
198,41,남성,경기,화성시,병점동,2000만원 이하
199,22,남성,경북,상주시,공성면,4000~5000만원
200,66,남성,경기,의정부시,가능동,2000~3000만원
201,19,남성,경기,안산시 단원구,신길동,2000만원 이하
202,57,여성,경남,사천시,곤양면,3000~4000만원
203,24,여성,부산,금정구,부곡동,2000만원 이하
204,58,여성,서울,중랑구,묵동,5000만원이상
205,49,여성,경기,구리시,인창동,2000만원 이하
206,38,남성,경기,안산시 단원구,성곡동,4000~5000만원
207,76,남성,경기,고양시 일산서,탄현동,2000만원 이하
208,34,남성,충북,충주시,교현동,5000만원이상
209,39,여성,충북,보은군,산외면,5000만원이상
210,46,남성,서울,송파구,가락동,2000~3000만원
211,20,남성,서울,도봉구,도봉동,5000만원이상
212,46,남성,경기,화성시,매송면,5000만원이상
213,58,여성,울산,울주군,삼남읍,5000만원이상
214,20,여성,경기,수원시 팔달구,우만동,4000~5000만원
215,23,여성,광주,서구,풍암동,2000~3000만원
216,25,남성,대전,유성구,장대동,4000~5000만원
217,20,남성,경기,김포시,사우동,2000만원 이하
218,24,남성,인천,서구,가정동,5000만원이상
219,67,여성,서울,종로구,부암동,3000~4000만원
220,66,여성,울산,남구,삼산동,4000~5000만원
221,53,남성,강원,원주시,무실동,2000~3000만원
222,62,여성,충남,공주시,금흥동,4000~5000만원
223,69,여성,부산,사하구,감천동,2000만원 이하
224,54,남성,경기,용인시 기흥구,언남동,3000~4000만원
225,25,남성,서울,강남구,도곡동,2000만원 이하
226,68,여성,부산,연제구,연산동,3000~4000만원
227,44,여성,전북,군산시,미장동,4000~5000만원
228,59,여성,대구,수성구,황금동,2000만원 이하
229,77,여성,경기,광주시,도척면,2000~3000만원
230,71,남성,경기,광명시,하안동,4000~5000만원
231,57,여성,경기,광주시,장지동,2000만원 이하
232,30,남성,경남,거제시,장목면,4000~5000만원
233,66,남성,부산,수영구,광안동,2000~3000만원
234,27,남성,경기,파주시,아동동,5000만원이상
235,50,남성,울산,북구,매곡동,2000만원 이하
236,66,남성,대구,달서구,이곡동,4000~5000만원
237,34,남성,부산,사상구,주례동,2000~3000만원
238,22,여성,경기,김포시,장기동,2000만원 이하
239,46,남성,충남,서산시,부석면,3000~4000만원
240,47,여성,대구,수성구,수성동4가,2000~3000만원
241,32,여성,인천,계양구,작전동,3000~4000만원
242,38,여성,경기,이천시,부발읍,3000~4000만원
243,33,남성,경기,용인시 수지구,죽전동,2000~3000만원
244,43,남성,경기,부천시,중동,3000~4000만원
245,22,남성,경기,화성시,병점동,3000~4000만원
246,79,남성,경기,김포시,대곶면,2000만원 이하
247,74,남성,세종특별자치시,세종시,조치원읍,2000만원 이하
248,24,남성,서울,동작구,동작동,2000만원 이하
249,20,여성,충남,공주시,금성동,2000만원 이하
250,26,여성,경기,고양시 일산동,마두동,2000~3000만원
251,68,남성,부산,부산진구,당감동,2000만원 이하
252,80,여성,서울,강동구,암사동,5000만원이상
253,62,여성,인천,남동구,논현동,4000~5000만원
254,38,여성,서울,양천구,신월동,2000만원 이하
255,19,남성,강원,강릉시,교동,3000~4000만원
256,50,여성,경남,밀양시,삼문동,2000만원 이하
257,51,남성,강원,춘천시,소양로4가,4000~5000만원
258,36,여성,경기,남양주시,퇴계원읍,5000만원이상
259,34,여성,서울,서초구,반포동,2000~3000만원
260,49,남성,경기,김포시,운양동,2000~3000만원
261,68,여성,경기,안산시 단원구,초지동,2000~3000만원
262,38,여성,인천,서구,가좌동,3000~4000만원
263,19,여성,경기,성남시 분당구,이매동,5000만원이상
264,61,여성,대구,북구,검단동,2000만원 이하
265,57,남성,인천,서구,가좌동,5000만원이상
266,58,여성,서울,양천구,신월동,4000~5000만원
267,54,여성,인천,남동구,남촌동,2000~3000만원
268,64,여성,경기,안양시 동안구,관양동,4000~5000만원
269,70,남성,서울,광진구,중곡동,4000~5000만원
270,29,남성,경기,화성시,청계동,4000~5000만원
271,46,남성,경기,성남시 분당구,분당동,2000~3000만원
272,32,여성,서울,강남구,역삼동,2000~3000만원
273,67,여성,경남,김해시,내덕동,3000~4000만원
274,26,남성,경기,남양주시,일패동,2000만원 이하
275,63,남성,서울,성동구,성수동1가,2000~3000만원
276,39,여성,광주,서구,금호동,4000~5000만원
277,69,여성,경기,안산시 단원구,원시동,2000~3000만원
278,58,남성,경남,창원시 성산구,사파동,3000~4000만원
279,38,여성,서울,송파구,오금동,3000~4000만원
280,42,여성,인천,서구,마전동,3000~4000만원
281,71,여성,경기,고양시 덕양구,화정동,4000~5000만원
282,60,남성,서울,중구,서소문동,3000~4000만원
283,22,남성,전남,나주시,금천면,5000만원이상
284,51,여성,경북,구미시,오태동,2000만원 이하
285,30,여성,광주,광산구,도산동,2000~3000만원
286,45,여성,경남,창원시 마산회,내서읍,5000만원이상
287,79,여성,대구,북구,대현동,2000만원 이하
288,59,여성,대구,수성구,수성동3가,2000만원 이하
289,60,남성,대구,수성구,수성동4가,2000~3000만원
290,33,여성,경북,경산시,와촌면,5000만원이상
291,77,남성,대전,유성구,전민동,4000~5000만원
292,80,남성,경기,안성시,옥산동,4000~5000만원
293,55,여성,강원,강릉시,견소동,3000~4000만원
294,50,남성,경기,수원시 영통구,하동,2000~3000만원
295,39,남성,대구,수성구,노변동,2000만원 이하
296,33,남성,서울,은평구,갈현동,5000만원이상
297,22,남성,경기,안양시 동안구,관양동,4000~5000만원
298,52,여성,서울,영등포구,당산동4가,2000만원 이하
299,24,남성,대구,수성구,만촌동,5000만원이상
300,52,여성,충북,청주시 서원구,남이면,2000~3000만원
301,65,여성,서울,양천구,신월동,2000만원 이하
302,45,남성,전북,군산시,나운동,4000~5000만원
303,47,여성,대전,대덕구,중리동,4000~5000만원
304,48,남성,전남,여수시,평여동,5000만원이상
305,58,남성,서울,양천구,신월동,2000만원 이하
306,38,여성,경기,평택시,세교동,2000만원 이하
307,57,여성,강원,강릉시,포남동,3000~4000만원
308,43,여성,서울,강남구,논현동,4000~5000만원
309,42,남성,전남,강진군,군동면,4000~5000만원
310,65,여성,부산,기장군,기장읍,5000만원이상
311,22,여성,경북,칠곡군,석적읍,2000~3000만원
312,50,남성,경기,부천시,송내동,2000~3000만원
313,54,남성,경기,이천시,중리동,5000만원이상
314,29,여성,전남,순천시,장천동,2000~3000만원
315,38,남성,인천,남동구,만수동,4000~5000만원
316,57,남성,서울,성북구,정릉동,5000만원이상
317,44,남성,인천,부평구,산곡동,5000만원이상
318,52,여성,경남,거창군,거창읍,2000~3000만원
319,68,여성,서울,노원구,상계동,5000만원이상
320,49,남성,부산,부산진구,개금동,4000~5000만원
321,38,여성,충남,논산시,연무읍,4000~5000만원
322,55,여성,강원,고성군,토성면,2000만원 이하
323,48,남성,전남,여수시,호명동,4000~5000만원
324,46,여성,충북,청주시 흥덕구,복대동,2000만원 이하
325,71,여성,서울,관악구,봉천동,2000만원 이하
326,29,남성,울산,남구,무거동,2000만원 이하
327,74,남성,경기,하남시,덕풍동,4000~5000만원
328,38,남성,경남,밀양시,삼랑진읍,2000~3000만원
329,24,남성,경기,시흥시,정왕동,5000만원이상
330,43,남성,울산,중구,태화동,5000만원이상
331,46,여성,울산,동구,화정동,4000~5000만원
332,80,남성,광주,서구,금호동,4000~5000만원
333,76,남성,경기,시흥시,장곡동,4000~5000만원
